date,Region,mean_daily_site_volume,median_daily_site_volume,total_daily_site_volume,n_sites
2021-05-25,DCC1,20766.984848484848,17389.0,1370621,66
2021-05-25,IRE,19363.253886010363,16666.0,3737108,193
2021-05-25,IRE3,16411.235294117647,15977.0,557982,34
2021-05-25,NCITY,16612.167512690354,15765.0,3272597,197
2021-05-25,SCITY,13837.496598639456,14465.0,2034112,147
2021-05-25,WCITY1,16874.991666666665,15621.5,2024999,120
2021-05-26,CCITY,15179.330508474577,13189.0,1791161,118
2021-05-26,DCC1,20902.772727272728,18090.0,1379583,66
2021-05-26,IRE,20815.321052631578,17676.0,3954911,190
2021-05-26,IRE3,20942.896551724138,21872.0,607344,29
2021-05-26,NCITY,16879.406091370558,16121.0,3325243,197
2021-05-26,SCITY,14136.795918367347,15007.0,2078109,147
2021-05-26,WCITY1,17021.416666666668,15566.5,2042570,120
2021-05-27,CCITY,15563.093220338984,12989.5,1836445,118
2021-05-27,DCC1,21501.484848484848,18357.0,1419098,66
2021-05-27,IRE,20781.534031413612,18041.0,3969273,191
2021-05-27,IRE3,21209.827586206895,22310.0,615085,29
2021-05-27,NCITY,17285.928934010153,16382.0,3405328,197
2021-05-27,SCITY,14620.945578231293,14932.0,2149279,147
2021-05-27,WCITY1,17516.5,16088.0,2101980,120
2021-05-28,CCITY,15974.406779661016,13788.0,1884980,118
2021-05-28,DCC1,22047.378787878788,18486.5,1455127,66
2021-05-28,IRE,20913.635416666668,18279.5,4015418,192
2021-05-28,IRE3,21616.793103448275,22367.0,626887,29
2021-05-28,NCITY,17528.05583756345,16686.0,3453027,197
2021-05-28,SCITY,15153.13605442177,15314.0,2227511,147
2021-05-28,WCITY1,17543.158333333333,16426.0,2105179,120
2021-05-29,CCITY,13842.838983050848,11247.0,1633455,118
2021-05-29,DCC1,18066.39393939394,15353.5,1192382,66
2021-05-29,IRE,18228.230366492146,16174.0,3481592,191
2021-05-29,IRE3,19772.793103448275,20107.0,573411,29
2021-05-29,NCITY,15127.959390862945,14780.0,2980208,197
2021-05-29,SCITY,13330.130136986301,13755.0,1946199,146
2021-05-29,WCITY1,14977.733333333334,14039.5,1797328,120
2021-05-30,CCITY,12156.372881355932,9309.0,1434452,118
2021-05-30,DCC1,16121.333333333334,14208.5,1064008,66
2021-05-30,IRE,17220.712041884817,14195.0,3289156,191
2021-05-30,IRE3,17334.275862068964,17105.0,502694,29
2021-05-30,NCITY,13582.888324873096,13161.0,2675829,197
2021-05-30,SCITY,11968.075342465754,11858.0,1747339,146
2021-05-30,WCITY1,13127.808333333332,12176.0,1575337,120
2021-05-31,CCITY,14843.974576271186,12335.5,1751589,118
2021-05-31,DCC1,20742.757575757576,17871.0,1369022,66
2021-05-31,IRE,20423.931937172776,17133.0,3900971,191
2021-05-31,IRE3,20719.172413793105,21767.0,600856,29
2021-05-31,NCITY,16597.720812182743,16363.0,3269751,197
2021-05-31,SCITY,14302.081632653062,15002.0,2102406,147
2021-05-31,WCITY1,16787.258333333335,15123.5,2014471,120
2021-06-01,CCITY,15175.85593220339,12777.0,1790751,118
2021-06-01,DCC1,20983.515151515152,18241.0,1384912,66
2021-06-01,IRE,20658.651041666668,17222.0,3966461,192
2021-06-01,IRE3,21098.689655172413,22133.0,611862,29
2021-06-01,NCITY,17035.74111675127,16386.0,3356041,197
2021-06-01,SCITY,14570.714285714286,15477.0,2141895,147
2021-06-01,WCITY1,16823.016666666666,16090.0,2018762,120
2021-06-02,CCITY,15365.728813559323,12906.5,1813156,118
2021-06-02,DCC1,21490.439393939392,17603.0,1418369,66
2021-06-02,IRE,20269.369791666668,17423.5,3891719,192
2021-06-02,IRE3,20492.689655172413,22101.0,594288,29
2021-06-02,NCITY,17127.243654822334,16104.0,3374067,197
2021-06-02,SCITY,14551.945578231293,15445.0,2139136,147
2021-06-02,WCITY1,17041.841666666667,15769.5,2045021,120
2021-06-03,CCITY,15852.025423728814,13434.5,1870539,118
2021-06-03,DCC1,21922.060606060608,19157.0,1446856,66
2021-06-03,IRE,21339.005208333332,18243.0,4097089,192
2021-06-03,IRE3,21638.793103448275,22876.0,627525,29
2021-06-03,NCITY,17570.969543147206,16544.0,3461481,197
2021-06-03,SCITY,15051.204081632653,15653.0,2212527,147
2021-06-03,WCITY1,17064.208333333332,15800.0,2047705,120
2021-06-04,CCITY,16186.703389830509,13946.0,1910031,118
2021-06-04,DCC1,22091.045454545456,18458.0,1458009,66
2021-06-04,IRE,21192.90052356021,18656.0,4047844,191
2021-06-04,IRE3,21793.310344827587,22884.0,632006,29
2021-06-04,NCITY,17677.38578680203,16691.0,3482445,197
2021-06-04,SCITY,15282.734693877552,15755.0,2246562,147
2021-06-04,WCITY1,17409.158333333333,15908.5,2089099,120
2021-06-05,CCITY,13665.85593220339,11202.0,1612571,118
