date,location_label,dublin_daily_avg_pm25,pm25_count,pm25_min,pm25_max
2021-09-20,south,5.4514411955815465,1539,0.71,194.156
2021-09-21,north,4.970016781083142,2622,0.424,85.958
2021-09-21,south,5.31630643571328,14202,0.468,177.136
2021-09-22,north,5.042606148425957,17598,0.686,180.399
2021-09-22,south,6.4447573385518595,1022,1.129,31.178
2021-09-23,north,12.746385400015225,13137,4.805,238.944
2021-09-23,south,12.754869340678257,5809,4.556,205.14
2021-09-24,north,3.5760566706021253,847,0.412,55.809
2021-09-24,south,3.4976754507628294,15862,0.349,242.046
2021-09-27,north,12.808476232394366,1136,1.49,126.468
2021-09-27,south,5.726823085266143,23972,0.307,181.572
2021-09-28,north,7.201043973301925,2547,0.417,78.102
2021-09-28,south,4.247665343836996,16883,0.49,145.904
2021-09-29,north,5.360352792292619,12248,0.862,163.759
2021-09-29,south,7.017826086956521,1771,1.318,52.889
2021-09-30,north,13.659641889117044,4870,5.853,48.139
2021-09-30,south,7.304738319337203,17743,0.166,129.432
2021-10-01,north,7.345541663913302,15133,0.678,88.718
2021-10-01,south,7.911245509996611,5902,2.261,48.118
2021-10-07,north,3.0564991410131404,21537,0.132,215.943
2021-10-07,south,5.317052421367948,2003,0.344,138.54
2021-10-08,north,11.503602530311017,17073,1.663,100.878
2021-10-08,south,9.213735621521336,1078,0.571,87.773
2021-10-11,north,12.08822290545734,18214,3.535,112.435
2021-10-11,south,17.761851094890513,685,6.127,64.227
2021-10-12,north,4.609385825223631,10173,0.769,76.783
2021-10-12,south,9.900155778894472,398,1.782,46.96
2021-10-14,south,7.6617195121951225,738,3.029,24.493
2021-10-15,north,5.780376103632942,13818,0.722,76.053
2021-10-15,south,9.42331784068466,7595,1.122,391.3
2021-10-18,north,2.8082278308321964,733,0.095,30.669
2021-10-18,south,2.7112338953264867,18209,0.071,334.644
2021-10-19,south,3.943332949259591,23433,0.071,236.635
2021-10-20,north,11.96910272304627,4517,3.269,71.801
2021-10-20,south,11.314160357187774,15902,3.075,124.281
2021-10-21,north,8.442163292847503,741,2.423,37.705
2021-10-21,south,8.419672588347659,10470,2.233,380.244
2021-10-22,north,3.8522609484322365,19295,0.473,210.903
2021-10-22,south,5.165795166858458,2607,0.891,220.182
2021-10-26,north,9.93078947368421,931,2.784,185.967
2021-10-26,south,10.678325885024254,19378,1.744,287.913
2021-10-27,north,2.6462820512820513,351,0.507,12.44
2021-10-27,south,2.2453857732069205,18669,0.091,150.706
2021-10-28,north,4.988068527046533,14549,0.294,277.673
2021-10-28,south,5.204423544375353,7076,0.523,100.162
2021-10-29,north,7.3061560474568825,18206,1.194,174.107
2021-10-29,south,6.474947115384616,1872,1.209,55.082
2021-11-01,north,4.1634849508368985,13323,0.498,56.078
2021-11-01,south,3.8150925925925927,486,0.926,10.433
2021-11-02,north,6.765915760280799,23077,0.946,382.306
2021-11-02,south,9.522747252747253,728,2.28,100.68
2021-11-03,north,4.844428090381143,20491,0.148,107.686
2021-11-03,south,10.124262893982808,1396,2.0,101.838
2021-11-04,north,5.165358793895392,13498,0.381,211.166
2021-11-04,south,5.793025157232704,318,1.275,51.5
2021-11-05,north,5.8080816164817755,11358,0.812,334.956
2021-11-05,south,6.090316960148286,10790,1.213,158.407
2021-11-08,north,4.59592735042735,468,1.324,10.96
2021-11-08,south,5.697849600257553,18637,0.81,96.427
2021-11-09,north,5.480022755054067,10635,0.392,140.942
2021-11-09,south,10.258002623083131,9912,0.473,128.849
2021-11-10,south,11.779131781954565,23463,2.41,397.632
2021-11-11,south,3.488355394474209,19038,0.071,185.862
2021-11-12,north,3.009147342995169,414,0.956,6.318
2021-11-12,south,4.462704088826225,17022,0.289,381.352
2021-11-15,north,6.6839141078400335,18954,1.264,102.827
2021-11-15,south,6.6478947895791585,1996,1.899,39.39
2021-11-16,north,5.632689651892715,10514,0.491,297.57
2021-11-16,south,6.409034765432098,10125,0.751,246.176
2021-11-17,north,20.71309195402299,696,9.107,298.088
2021-11-17,south,17.271744617530807,21505,6.582,260.575
2021-11-18,north,6.204278010227801,2151,1.302,71.374
2021-11-18,south,3.9282489837921277,19435,0.215,211.982
2021-11-19,north,3.075860652591171,13025,0.143,122.411
2021-11-19,south,3.068574119863417,8493,0.114,103.747
2021-11-23,north,7.095241067149476,18779,0.921,173.049
2021-11-23,south,10.558623244929798,2564,1.722,93.946
2021-11-24,north,7.659931837952032,16094,2.287,237.505
2021-11-24,south,5.47170884255931,8346,1.982,314.646
2021-11-25,north,13.427884883897404,13178,4.334,125.51
2021-11-25,south,12.794718637992831,558,7.415,29.762
2021-11-26,north,9.163840583841724,17539,0.574,285.749
2021-11-26,south,9.75589243697479,1190,3.314,27.744
2021-11-29,north,5.477621669447394,19779,0.62,377.994
2021-11-29,south,4.542536315789474,1900,1.792,12.298
2021-11-30,north,3.601144914491449,1111,0.225,126.424
2021-11-30,south,2.630839753200323,17342,0.21,196.802
2021-12-01,south,8.741682354041915,21376,0.694,144.587
2021-12-02,north,10.425416165839213,11481,2.24,189.555
2021-12-02,south,7.4885835497835505,1155,2.682,49.878
2021-12-03,north,12.946577194752773,991,5.963,39.62
2021-12-03,south,18.089666963783074,21316,6.08,234.63
2021-12-06,north,8.786513513513514,370,3.798,17.736
2021-12-06,south,8.400366887588225,23236,0.882,205.711
2021-12-07,north,1.6285652173913043,69,0.662,4.3
2021-12-07,south,7.133169012062033,20892,0.244,63.697
2021-12-08,north,11.244781862531578,11479,4.0,55.926
2021-12-08,south,12.552322164948455,388,6.385,19.9
2021-12-09,north,10.202337834151663,7332,0.358,91.035
2021-12-09,south,5.16919143016138,14376,0.285,99.584
2021-12-10,south,11.36388787096774,7750,4.552,147.062
2021-12-13,north,15.272337387898155,19402,3.433,291.505
2021-12-13,south,15.237914040114612,1047,4.393,49.526
2021-12-14,north,5.323804013639667,17889,0.916,83.877
2021-12-14,south,6.138171213208902,2786,1.171,46.162
2021-12-15,north,5.686030317882649,14282,0.451,284.956
2021-12-15,south,5.105298678218372,9003,0.555,258.585
2021-12-16,north,9.748121306220575,9983,2.085,78.691
2021-12-16,south,8.490953861584755,997,2.342,131.675
2021-12-17,north,10.106023558807781,16809,3.356,216.157
2021-12-17,south,11.786781065088757,507,5.555,74.463
2021-12-20,north,10.597359037328095,18324,3.125,111.712
2021-12-20,south,13.647098395721926,935,4.579,91.718
2021-12-21,north,18.033433736240017,18532,5.74,230.085
2021-12-21,south,19.59468968386023,1202,10.421,70.369
2021-12-22,south,8.722738387978142,1464,3.491,23.215
2021-12-23,north,4.6474417364813405,1313,1.505,16.822
2021-12-23,south,8.049397423996286,17236,0.499,94.948
2021-12-24,north,18.154191550625445,21185,3.61,86.704
2021-12-24,south,17.78177445432498,1237,3.941,42.386
2022-01-04,south,11.71599797102817,21193,3.485,94.867
2022-01-06,south,7.412764096566702,11971,1.188,67.58
2022-01-07,north,4.43741667992997,12566,0.482,74.375
2022-01-07,south,6.104971935483871,6200,0.815,146.468
2022-01-10,north,4.750268557260188,19359,0.707,399.069
2022-01-10,south,4.434176318701586,2711,0.9,161.882
2022-01-11,north,18.259831897997987,8941,7.342,132.629
2022-01-11,south,16.681529449978346,4618,6.627,99.238
2022-01-12,north,15.071714285714288,14,9.35,23.415
2022-01-12,south,13.11066236345581,21147,2.813,388.335
2022-01-13,north,12.201716290212183,17532,2.64,247.495
2022-01-13,south,9.30344238323876,4582,2.737,48.075
2022-01-14,north,21.915394915513808,19589,7.001,387.41
2022-01-14,south,24.476574235807863,1374,6.191,214.976
2022-01-17,north,18.317063333333333,600,9.896,349.332
