date,dublin_daily_mean_site_traffic,dublin_daily_median_site_traffic,dublin_daily_total_traffic,dublin_daily_n_sites,dublin_daily_n_regions
2022-02-11,19127.833575806482,17337.14285714286,16839339,890,7
2022-02-12,16864.310149041397,15660.357142857143,14691397,890,7
2022-02-13,15006.175943105598,13540.785714285714,13099739,890,7
2022-02-14,17789.698317763115,16296.142857142857,15712361,891,7
2022-02-15,17769.077868160875,15998.214285714286,15772009,891,7
2022-02-16,18305.20659035301,16781.785714285714,16128511,891,7
2022-02-17,18950.949424804276,17287.214285714286,16617913,889,7
2022-02-18,18978.51253152527,17181.428571428572,16592676,889,7
2022-02-19,16939.419185336163,15377.0,14767695,888,7
2022-02-20,14037.21479561392,12614.214285714286,12212061,888,7
2022-02-21,17101.937123379907,15399.5,14941966,888,7
2022-02-22,17808.89717005827,16629.714285714286,15589585,888,7
2022-02-23,15408.893114624838,13730.357142857143,13818396,890,7
2022-02-24,18331.022097846675,16608.714285714286,16085634,888,7
2022-02-25,19000.700698810728,17456.571428571428,16582888,888,7
2022-02-26,17146.304269932687,15999.42857142857,14900139,887,7
2022-02-27,15409.684458688076,14106.214285714286,13457475,887,7
2022-02-28,18033.200287219825,16228.785714285714,15824395,888,7
2022-03-01,18333.93050282796,16734.0,16148606,890,7
2022-03-02,18608.397228933078,16807.071428571428,16258498,887,7
2022-03-03,19198.08237539266,17396.428571428572,16852405,888,7
2022-03-04,19811.67412830147,17903.214285714286,17374830,888,7
2022-03-05,17690.004237000136,16308.357142857143,15427249,888,7
2022-03-06,15570.154686047765,14061.5,13575241,888,7
2022-03-07,17745.018696585812,16266.642857142857,15586203,891,7
2022-03-08,18155.568143898436,16362.07142857143,15997207,894,7
2022-03-09,18191.860525257693,16540.428571428572,16082013,893,7
2022-03-10,18896.614517653652,17257.571428571428,16672182,893,7
2022-03-11,19469.217968032735,17793.285714285714,17081466,891,7
2022-03-12,17148.19272889722,15561.714285714286,14946877,890,7
2022-03-13,15056.847178564183,13436.857142857143,13095961,890,7
2022-03-14,17676.73568871054,15793.785714285714,15618190,897,7
2022-03-15,18126.289092329916,16432.5,16002036,897,7
2022-03-16,19316.834109319145,17577.64285714286,16931034,892,7
2022-03-17,13130.769431334613,11878.0,11492644,892,7
2022-03-18,15077.018076226008,13786.5,13164903,892,7
2022-03-19,15875.141917869123,14734.142857142857,13773019,892,7
2022-03-20,14971.003459963364,13605.785714285714,13020208,892,7
2022-03-21,17323.285502450355,15624.142857142857,15261477,897,7
2022-03-22,17988.576607603165,16262.785714285714,15868165,895,7
2022-03-23,18511.594854043058,16953.85714285714,16294227,891,7
2022-03-24,18912.511593138188,17345.428571428572,16680550,894,7
2022-03-25,19530.95972745489,18067.285714285714,17160489,892,7
2022-03-26,17883.03268745285,16764.5,15614919,892,7
2022-03-27,15815.768974650779,14444.642857142857,13818842,891,7
2022-03-28,17733.29204412527,16466.14285714286,15622225,895,7
2022-03-29,18361.888167693938,17006.785714285714,16215917,893,7
2022-03-30,18537.04695823658,16961.0,16410125,893,7
2022-03-31,19236.67261548806,18042.0,16900355,892,7
2022-04-01,19676.92297310735,17961.5,17258519,892,7
2022-04-02,17560.96748728622,16090.714285714286,15314278,892,7
2022-04-03,15613.1333853124,14059.214285714286,13722281,892,7
2022-04-04,17769.213903204527,16148.5,15664180,894,7
2022-04-05,18440.29340236875,16970.714285714286,16216924,892,7
2022-04-06,18971.981824146067,17508.64285714286,16689698,892,7
