date,daily_mean_pm25,pm25_count,pm25_min,pm25_max
2022-02-18,4.409495414578803,21154,0.113,515.055
2022-02-22,9.414525551102205,17964,1.896,136.494
2022-02-23,8.840091822660098,15225,1.669,168.589
2022-02-24,8.036287580771143,14083,1.01,200.937
2022-02-25,12.838644842076725,7377,2.628,457.853
2022-02-28,14.295928534370946,23130,3.358,217.488
2022-03-01,13.551213240008549,18716,2.755,1343.532
2022-03-02,3.5224756046119237,14224,0.527,47.687
2022-03-03,10.236597372643402,9972,2.441,140.795
2022-03-04,6.300824090686675,12262,0.87,222.684
2022-03-07,7.009982573110171,21748,1.326,142.363
2022-03-08,11.668199654001409,15607,0.696,105.744
2022-03-09,3.7060691787598947,24256,0.413,110.781
2022-03-10,6.1945300908402725,15852,0.714,77.624
2022-03-11,6.954638696555305,23108,0.314,57.604
2022-03-14,5.364636150983519,9405,1.162,250.92
2022-03-15,6.208815141621812,11333,0.636,148.027
2022-03-16,7.891867314204242,11222,1.933,83.395
2022-03-22,18.573504446988377,22712,10.38,132.929
2022-03-23,18.669551392654668,12171,8.28,94.942
2022-03-24,15.182494215806715,19536,4.541,264.216
2022-03-25,21.42828164999741,19297,7.818,194.517
2022-03-28,16.407135766180467,18031,8.22,202.519
2022-03-29,29.248388660463103,18484,16.168,335.137
2022-03-30,9.113886762360448,14421,1.651,148.853
2022-03-31,4.472397492891186,24969,0.728,83.891
2022-04-01,4.752723850031506,12696,0.758,241.882
2022-04-04,2.4905392191524824,19799,0.086,219.483
2022-04-05,5.785491261943661,20199,0.65,134.894
2022-04-06,5.259586782861293,12393,0.72,239.196
2022-04-07,7.066888981810579,9566,1.761,91.192
2022-04-11,11.691590389472285,15046,3.145,57.864
2022-04-12,22.349559687616214,2689,14.707,82.488
2022-04-13,7.184833902514748,9663,0.791,147.719
2022-04-14,5.1089465811057755,23531,0.528,151.203
2022-04-15,2.5192640481031274,23117,0.086,138.012
2022-04-19,8.989602440948536,21549,0.943,558.269
2022-04-20,7.462656402604449,22116,0.711,120.38
2022-04-21,17.629575344936423,11089,7.239,127.675
2022-04-22,13.615182325952524,15039,5.359,372.683
2022-04-25,7.569780821251338,20554,1.53,190.489
2022-04-26,14.376432009925558,8060,5.624,140.08
2022-04-27,11.74045673032989,10943,3.595,687.232
2022-04-28,16.09069908083498,23282,6.044,294.643
2022-04-29,16.982060305343513,1310,10.055,31.162
2022-05-03,10.190971459674365,21128,3.536,122.761
2022-05-04,4.984631159080244,23441,0.331,171.889
2022-05-05,5.605878880608064,20261,0.759,251.627
2022-05-06,3.196437902159542,22690,0.114,272.341
2022-05-09,4.700538565751445,22144,0.215,284.219
2022-05-10,6.852294435730207,24226,0.704,430.822
2022-05-11,5.1323441292193,24145,0.583,208.38
2022-05-12,4.519912477672876,15676,0.211,66.722
2022-05-13,17.076689713322093,593,9.267,27.305
2022-05-18,22.958773791807,12767,6.194,116.447
2022-05-19,6.365671065305336,20764,0.967,131.757
2022-05-20,4.329245582202588,25352,0.398,111.111
2022-05-23,3.341606423085874,21485,0.122,1006.286
2022-05-24,2.943738527446994,13772,0.12,101.993
2022-05-25,3.063272231855338,24222,0.258,404.225
2022-05-26,1.9259489628260422,9738,0.08,85.015
2022-05-27,7.385990044482101,9442,2.01,40.81
2022-05-30,4.074831910420867,23309,0.251,108.749
2022-05-31,3.504344840283531,21726,0.194,146.87
2022-06-01,3.6699407325892155,25444,0.187,1485.423
2022-06-02,3.7294433074764815,24236,0.252,175.56
2022-06-03,4.96399597091195,10176,0.673,47.071
2022-06-07,6.564273989575322,23406,1.367,127.689
2022-06-08,5.778646847670017,15322,0.62,93.162
2022-06-09,2.0114317652538425,8588,0.076,134.479
2022-06-10,8.635760841595399,13213,0.494,109.253
2022-06-13,7.550300298919292,21745,1.522,283.25
2022-06-14,4.784504193175246,13832,0.55,110.931
2022-06-15,6.62504418594742,23469,1.026,141.641
2022-06-16,4.815449864720833,12197,0.286,37.88
