date,location_label,mean_daily_site_volume,median_daily_site_volume,total_daily_site_volume,n_sites
2021-08-10,north,16298.540404040405,14862.5,3227111,198
2021-08-10,south,13970.513698630137,14813.5,2039695,146
2021-08-11,north,16523.545454545456,15001.5,3271662,198
2021-08-11,south,14438.753424657534,15042.5,2108058,146
2021-08-12,north,17023.858585858587,15417.5,3370724,198
2021-08-12,south,14739.582191780824,15446.0,2151979,146
2021-08-13,north,17351.409090909092,15832.0,3435579,198
2021-08-13,south,15054.972602739726,15798.0,2198026,146
2021-08-14,north,14999.40909090909,13504.0,2969883,198
2021-08-14,south,13184.993103448276,13708.0,1911824,145
2021-08-15,north,13536.156565656564,12592.0,2680159,198
2021-08-15,south,11650.489655172414,12213.0,1689321,145
2021-08-16,north,15933.126262626263,14502.0,3154759,198
2021-08-16,south,13583.013793103448,14638.0,1969537,145
2021-08-17,north,16321.80303030303,15045.0,3231717,198
2021-08-17,south,14105.116438356165,15017.0,2059347,146
2021-08-18,north,16743.439393939392,15131.5,3315201,198
2021-08-18,south,14543.431506849314,15078.0,2123341,146
2021-08-19,north,16977.80808080808,15284.5,3361606,198
2021-08-19,south,14890.513698630137,15502.0,2174015,146
2021-08-20,north,17293.343434343435,15447.5,3424082,198
2021-08-20,south,15310.63698630137,15531.0,2235353,146
2021-08-21,north,14951.838383838383,13794.0,2960464,198
2021-08-21,south,13537.413793103447,14275.0,1962925,145
2021-08-22,north,13864.60101010101,12738.5,2745191,198
2021-08-22,south,12287.503448275862,13043.0,1781688,145
2021-08-23,north,16619.833333333332,15376.0,3290727,198
2021-08-23,south,13937.605442176871,14859.0,2048828,147
2021-08-24,north,17004.5202020202,15462.5,3366895,198
2021-08-24,south,14211.891156462583,15078.0,2089148,147
2021-08-25,north,17239.252525252527,15671.5,3413372,198
2021-08-25,south,14661.319727891156,15453.0,2155214,147
2021-08-26,north,17520.782828282827,15952.0,3469115,198
2021-08-26,south,15038.78231292517,15696.0,2210701,147
2021-08-27,north,18050.439393939392,16143.5,3573987,198
2021-08-27,south,15459.857142857143,16296.0,2272599,147
2021-08-28,north,15845.833333333334,14391.0,3137475,198
2021-08-28,south,13485.666666666666,13935.0,1982393,147
2021-08-29,north,13846.141414141412,12973.0,2741536,198
2021-08-29,south,11861.86394557823,11971.0,1743694,147
2021-08-30,north,16696.527918781725,14909.0,3289216,197
2021-08-30,south,14007.34013605442,14386.0,2059079,147
2021-08-31,north,17095.888324873096,15518.0,3367890,197
2021-08-31,south,14787.442176870749,15099.0,2173754,147
2021-09-01,north,17465.324873096448,15727.0,3440669,197
2021-09-01,south,15235.190476190475,15497.0,2239573,147
2021-09-02,north,17674.30964467005,15831.0,3481839,197
2021-09-02,south,15673.0,16082.0,2303931,147
2021-09-03,north,18238.89847715736,16415.0,3593063,197
2021-09-03,south,16069.619047619048,16231.0,2362234,147
2021-09-04,north,15873.680203045686,14420.0,3127115,197
2021-09-04,south,14278.816326530612,15267.0,2098986,147
2021-09-05,north,14356.335025380711,13293.0,2828198,197
2021-09-05,south,12494.401360544218,12828.0,1836677,147
2021-09-06,north,16992.70408163265,15742.0,3330570,196
2021-09-06,south,14440.816326530612,14753.0,2122800,147
2021-09-07,north,17496.01530612245,15979.0,3429219,196
2021-09-07,south,15383.503401360544,15580.0,2261375,147
2021-09-08,north,17406.84263959391,15938.0,3429148,197
2021-09-08,south,15554.061224489797,15521.0,2286447,147
